Epoch 214, loss: 0.527, acc: 0.745
Eval epoch 214, loss: 0.583, acc: 0.667
Epoch 215, loss: 0.533, acc: 0.753
Eval epoch 215, loss: 0.567, acc: 0.712
Epoch 216, loss: 0.539, acc: 0.737
Eval epoch 216, loss: 0.591, acc: 0.667
Epoch 217, loss: 0.537, acc: 0.749
Eval epoch 217, loss: 0.588, acc: 0.667
Epoch 218, loss: 0.526, acc: 0.748
Eval epoch 218, loss: 0.585, acc: 0.676
Epoch 219, loss: 0.532, acc: 0.719
Eval epoch 219, loss: 0.585, acc: 0.658
Epoch 220, loss: 0.522, acc: 0.742
Eval epoch 220, loss: 0.586, acc: 0.676
Epoch 221, loss: 0.539, acc: 0.749
Eval epoch 221, loss: 0.580, acc: 0.676
Epoch 222, loss: 0.526, acc: 0.738
Eval epoch 222, loss: 0.583, acc: 0.658
Epoch 223, loss: 0.560, acc: 0.742
Eval epoch 223, loss: 0.597, acc: 0.676
Epoch 224, loss: 0.564, acc: 0.739
Eval epoch 224, loss: 0.586, acc: 0.658
Epoch 225, loss: 0.524, acc: 0.733
Eval epoch 225, loss: 0.583, acc: 0.658
Epoch 226, loss: 0.518, acc: 0.738
Eval epoch 226, loss: 0.587, acc: 0.658
Epoch 227, loss: 0.538, acc: 0.738
Eval epoch 227, loss: 0.587, acc: 0.685
Epoch 228, loss: 0.545, acc: 0.743
Eval epoch 228, loss: 0.596, acc: 0.640
Epoch 229, loss: 0.546, acc: 0.740
Eval epoch 229, loss: 0.590, acc: 0.649
Epoch 230, loss: 0.544, acc: 0.747
Eval epoch 230, loss: 0.572, acc: 0.685
Epoch 231, loss: 0.546, acc: 0.740
Eval epoch 231, loss: 0.587, acc: 0.667
Epoch 232, loss: 0.537, acc: 0.744
Eval epoch 232, loss: 0.582, acc: 0.667
Epoch 233, loss: 0.531, acc: 0.746
Eval epoch 233, loss: 0.580, acc: 0.658
Epoch 234, loss: 0.528, acc: 0.749
Eval epoch 234, loss: 0.590, acc: 0.658
Epoch 235, loss: 0.526, acc: 0.738
Eval epoch 235, loss: 0.588, acc: 0.649
Epoch 236, loss: 0.580, acc: 0.737
Eval epoch 236, loss: 0.585, acc: 0.649
Epoch 237, loss: 0.520, acc: 0.726
Eval epoch 237, loss: 0.579, acc: 0.640
Epoch 238, loss: 0.543, acc: 0.756
Eval epoch 238, loss: 0.592, acc: 0.667
Epoch 239, loss: 0.516, acc: 0.735
Eval epoch 239, loss: 0.582, acc: 0.649
Epoch 240, loss: 0.572, acc: 0.738
Eval epoch 240, loss: 0.585, acc: 0.658
Epoch 241, loss: 0.571, acc: 0.725
Eval epoch 241, loss: 0.592, acc: 0.685
Epoch 242, loss: 0.513, acc: 0.743
Eval epoch 242, loss: 0.575, acc: 0.721
Epoch 243, loss: 0.556, acc: 0.726
Eval epoch 243, loss: 0.589, acc: 0.667
Epoch 244, loss: 0.544, acc: 0.724
Eval epoch 244, loss: 0.587, acc: 0.667
Epoch 245, loss: 0.565, acc: 0.737
Eval epoch 245, loss: 0.586, acc: 0.676
Epoch 246, loss: 0.522, acc: 0.736
Eval epoch 246, loss: 0.587, acc: 0.658
Epoch 247, loss: 0.531, acc: 0.738
Eval epoch 247, loss: 0.584, acc: 0.703
Epoch 248, loss: 0.553, acc: 0.755
Eval epoch 248, loss: 0.587, acc: 0.685
Epoch 249, loss: 0.536, acc: 0.720
Eval epoch 249, loss: 0.590, acc: 0.685
Epoch 250, loss: 0.521, acc: 0.752
Eval epoch 250, loss: 0.587, acc: 0.658
Epoch 251, loss: 0.520, acc: 0.765
Eval epoch 251, loss: 0.586, acc: 0.676
Epoch 252, loss: 0.538, acc: 0.731
Eval epoch 252, loss: 0.578, acc: 0.658
Epoch 253, loss: 0.545, acc: 0.739
Eval epoch 253, loss: 0.587, acc: 0.667
Epoch 254, loss: 0.524, acc: 0.744
Eval epoch 254, loss: 0.580, acc: 0.658
Epoch 255, loss: 0.533, acc: 0.737
Eval epoch 255, loss: 0.586, acc: 0.658
Epoch 256, loss: 0.526, acc: 0.746
Eval epoch 256, loss: 0.596, acc: 0.676
Epoch 257, loss: 0.562, acc: 0.740
Eval epoch 257, loss: 0.581, acc: 0.658
Epoch 258, loss: 0.529, acc: 0.733
Eval epoch 258, loss: 0.587, acc: 0.649
Epoch 259, loss: 0.532, acc: 0.755
Eval epoch 259, loss: 0.590, acc: 0.667
Epoch 260, loss: 0.512, acc: 0.724
Eval epoch 260, loss: 0.598, acc: 0.649
Epoch 261, loss: 0.554, acc: 0.754
Eval epoch 261, loss: 0.585, acc: 0.649
Epoch 262, loss: 0.568, acc: 0.746
Eval epoch 262, loss: 0.586, acc: 0.658
Epoch 263, loss: 0.539, acc: 0.740
Eval epoch 263, loss: 0.582, acc: 0.631
Epoch 264, loss: 0.517, acc: 0.743
Eval epoch 264, loss: 0.589, acc: 0.640
Epoch 265, loss: 0.572, acc: 0.737
Eval epoch 265, loss: 0.580, acc: 0.649
Epoch 266, loss: 0.567, acc: 0.735
Eval epoch 266, loss: 0.585, acc: 0.649
Epoch 267, loss: 0.511, acc: 0.754
Eval epoch 267, loss: 0.584, acc: 0.649
Epoch 268, loss: 0.549, acc: 0.730
Eval epoch 268, loss: 0.582, acc: 0.658
Epoch 269, loss: 0.528, acc: 0.752
Eval epoch 269, loss: 0.597, acc: 0.649
Epoch 270, loss: 0.518, acc: 0.743
Eval epoch 270, loss: 0.586, acc: 0.649
Epoch 271, loss: 0.533, acc: 0.747
Eval epoch 271, loss: 0.600, acc: 0.676
Epoch 272, loss: 0.538, acc: 0.738
Eval epoch 272, loss: 0.596, acc: 0.676
Epoch 273, loss: 0.543, acc: 0.748
Eval epoch 273, loss: 0.590, acc: 0.640
Epoch 274, loss: 0.519, acc: 0.747
Eval epoch 274, loss: 0.585, acc: 0.640
Epoch 275, loss: 0.541, acc: 0.737
Eval epoch 275, loss: 0.589, acc: 0.658
Epoch 276, loss: 0.545, acc: 0.734
Eval epoch 276, loss: 0.577, acc: 0.649
Epoch 277, loss: 0.593, acc: 0.746
Eval epoch 277, loss: 0.587, acc: 0.658
Epoch 278, loss: 0.542, acc: 0.724
Eval epoch 278, loss: 0.594, acc: 0.667
Epoch 279, loss: 0.550, acc: 0.735
Eval epoch 279, loss: 0.582, acc: 0.649
Epoch 280, loss: 0.509, acc: 0.730
Eval epoch 280, loss: 0.589, acc: 0.631
Epoch 281, loss: 0.524, acc: 0.743
Eval epoch 281, loss: 0.588, acc: 0.703
Epoch 282, loss: 0.533, acc: 0.753
Eval epoch 282, loss: 0.597, acc: 0.676
Epoch 283, loss: 0.530, acc: 0.757
Eval epoch 283, loss: 0.582, acc: 0.676
Epoch 284, loss: 0.514, acc: 0.740
Eval epoch 284, loss: 0.581, acc: 0.658
Epoch 285, loss: 0.534, acc: 0.749
Eval epoch 285, loss: 0.577, acc: 0.658
Epoch 286, loss: 0.538, acc: 0.743
Eval epoch 286, loss: 0.580, acc: 0.640
Epoch 287, loss: 0.525, acc: 0.736
Eval epoch 287, loss: 0.587, acc: 0.640
Epoch 288, loss: 0.517, acc: 0.746
Eval epoch 288, loss: 0.591, acc: 0.658
Epoch 289, loss: 0.506, acc: 0.740
Eval epoch 289, loss: 0.593, acc: 0.658
Epoch 290, loss: 0.532, acc: 0.737
Eval epoch 290, loss: 0.589, acc: 0.667
Epoch 291, loss: 0.534, acc: 0.757
